,A2058_SKIN ,A2780_OVARY ,A375_SKIN ,A427_LUNG ,CAOV3_OVARY ,COLO320_LARGE_INTESTINE ,DLD1_LARGE_INTESTINE ,EFM192A_BREAST ,ES2_OVARY ,HCT116_LARGE_INTESTINE ,HT144_SKIN ,HT29_LARGE_INTESTINE ,KPL1_BREAST ,LOVO_LARGE_INTESTINE ,MDAMB436_BREAST ,MSTO211H_PLEURA ,NCIH1650_LUNG ,NCIH2122_LUNG ,NCIH23_LUNG ,NCIH460_LUNG ,NCIH520_LUNG ,OV90_OVARY ,OVCAR4_OVARY ,PA1_OVARY ,RKO_LARGE_INTESTINE ,RPMI7951_SKIN ,SKMEL30_SKIN ,SKMES1_LUNG ,SKOV3_OVARY ,SW620_LARGE_INTESTINE ,SW837_LARGE_INTESTINE ,T47D_BREAST ,UACC62_SKIN ,VCAP_PROSTATE ,ZR751_BREAST 
A2058_SKIN ,1.0,0.93030337818552,0.884732016666762,0.8686445457780178,0.9271236884176001,0.9096366962775181,0.8104280058661242,0.8313361629960617,0.9061984561382154,0.8720048008935236,0.9333459546574456,0.9092746068571768,0.8971130241244836,0.9016056825315345,0.9323196411544097,0.9043282337764393,0.9192618156175066,0.8964671679803421,0.8691644205524034,0.9465460653836432,0.8132623623561849,0.800159962490895,0.9081323890086801,0.7844311003407001,0.7818654453423707,0.9022632268058581,0.9363069813495141,0.8963223479414659,0.8366795248709151,0.9197457539333967,0.8986006047657795,0.8796957364783958,0.9401887864468517,0.9047702534324629,0.8443858607093612
A2780_OVARY ,0.93030337818552,1.0,0.8228512073389319,0.9081134274410257,0.9282703135637527,0.9638170354490854,0.757941220638242,0.8631266198448614,0.8599931755767728,0.8773345870670815,0.8726435433159246,0.9007686954548128,0.8996267592538952,0.9254652265170734,0.9097153249417574,0.869071117295093,0.8986205369789345,0.8839475015053924,0.8880619908608901,0.9180908092407489,0.8462952666348659,0.7668687565712689,0.9156312452930844,0.7606878054371493,0.7587598369843133,0.8539775361989917,0.9154436426021493,0.8838519329747774,0.8169271942001943,0.927746806017801,0.9245348208380748,0.9046432712879456,0.873292951778324,0.9473054344716333,0.837329022095571
A375_SKIN ,0.884732016666762,0.8228512073389319,1.0,0.7523827351614777,0.833615918728765,0.8178707964738936,0.7882696125665972,0.6638016449833414,0.7821669692027816,0.8210246121664061,0.9186245415518667,0.8366934962981967,0.7819205736016482,0.8616325869626641,0.8187803262845708,0.8782175857528073,0.7900129569608421,0.7678475458922684,0.7064586144837327,0.8274676437994691,0.8349820656611582,0.6702027616456951,0.7196451904407009,0.790342577526302,0.85305821570448,0.8209065150507803,0.8566944818420322,0.7350855900210312,0.7892516997865568,0.8594661311756934,0.7778584566974078,0.7172625763365645,0.8704368669394943,0.8354936322231167,0.853464073146458
A427_LUNG ,0.8686445457780178,0.9081134274410257,0.7523827351614777,1.0,0.8889505929090814,0.8866012704844838,0.7417484130268491,0.8128616047683513,0.7745881371403232,0.8182960091215663,0.8124067396663959,0.8309367054324956,0.8286961333376625,0.8136668103958519,0.8486268441694285,0.8013915452165523,0.8567984439736476,0.8112613484676167,0.9377142353453353,0.8611641367006603,0.741715912434381,0.7702603267001591,0.8837798250146554,0.6432262370280816,0.6901880196930382,0.8213336256708227,0.8453560373778102,0.8113328964780274,0.8018638989899115,0.8357293638508471,0.8625505916099361,0.9113580112693473,0.859771444717288,0.8672359409302649,0.7518370797743853
CAOV3_OVARY ,0.9271236884176001,0.9282703135637527,0.833615918728765,0.8889505929090814,1.0,0.9107619556253712,0.795613829539738,0.8256825048555506,0.843362249353319,0.8855007572196221,0.8831526021101318,0.9002427307357967,0.8820983256840269,0.9026572004821063,0.9401672294320644,0.881529749118154,0.9407637784690549,0.9034641549344073,0.871572686494686,0.9225390308267793,0.8263302333583935,0.808854530420028,0.894331875923098,0.7538295757159288,0.7370844884995651,0.8784180355715047,0.9210320272407524,0.8971947191370129,0.8800749058704774,0.9148299748395634,0.9269680688365664,0.859145022911544,0.8930387391503805,0.8834181475694164,0.8422366481391419
COLO320_LARGE_INTESTINE ,0.9096366962775181,0.9638170354490854,0.8178707964738936,0.8866012704844838,0.9107619556253712,1.0,0.7595004190070015,0.8519430620948637,0.8634375783853269,0.8747977150369886,0.8517128352211526,0.9006527111481267,0.9041007614463883,0.9460872501214196,0.8930721916293841,0.8557807429765996,0.8859562909623824,0.8901939606771103,0.8770561418775313,0.9156022891677448,0.8476083548576099,0.7575455381543718,0.8961004193928926,0.765400925408746,0.7855840678854424,0.8253469560176175,0.9062163240183638,0.8768024249325059,0.787215237564665,0.9325650773182275,0.9348862197317783,0.880854576841352,0.8727882324065019,0.9351308401748938,0.8791362013215926
DLD1_LARGE_INTESTINE ,0.8104280058661242,0.757941220638242,0.7882696125665972,0.7417484130268491,0.795613829539738,0.7595004190070015,1.0,0.6854426377740467,0.7557579057217254,0.7572588120740454,0.7857552613147976,0.8630217944810367,0.7983472490387767,0.8137477885428143,0.7652882291037193,0.8125066105434026,0.7957935726573919,0.7474630142489349,0.7213169500623499,0.8028469630834989,0.6935014734011222,0.6964717382239062,0.747810353344838,0.850962947678056,0.7580770292424883,0.7817922840818335,0.7876392994147974,0.7342458318049262,0.7575277271023796,0.8351000867496315,0.7888217549263717,0.7421904710089048,0.7675711015185721,0.7781534678108348,0.7850783923864847
EFM192A_BREAST ,0.8313361629960617,0.8631266198448614,0.6638016449833414,0.8128616047683513,0.8256825048555506,0.8519430620948637,0.6854426377740467,1.0,0.792164455432129,0.7603720699241069,0.7666098053147268,0.8354641882887704,0.8567434215255259,0.8247402707251773,0.8234952549696678,0.7359398861189752,0.8475715554307315,0.8404999515492804,0.8368236666349096,0.8368689088529355,0.6944970373417865,0.6974783556227426,0.8912159358099774,0.6351087189255396,0.6011230522084454,0.767560400192541,0.8156392725939475,0.8510612143576274,0.7125108893638219,0.8409510620023056,0.8617335243048267,0.8780676865902907,0.7960132799940094,0.8302640310836895,0.7515523014113569
ES2_OVARY ,0.9061984561382154,0.8599931755767728,0.7821669692027816,0.7745881371403232,0.843362249353319,0.8634375783853269,0.7557579057217254,0.792164455432129,1.0,0.7992819787620424,0.8364169258882458,0.8716778815708355,0.8612350228770809,0.8908146233001174,0.8572322591517443,0.8371283996424154,0.8486163148649171,0.850296161725309,0.7999854862055705,0.8757765750192106,0.7698415432053379,0.6894758972796295,0.8627574359402804,0.7312702568426412,0.7032160412370447,0.842408997509978,0.8755912007999301,0.8813777370858458,0.7618585215859545,0.885294377228298,0.8483193400408565,0.8102778073187068,0.8429853367541226,0.8437811530423389,0.8044637306855006
HCT116_LARGE_INTESTINE ,0.8720048008935236,0.8773345870670815,0.8210246121664061,0.8182960091215663,0.8855007572196221,0.8747977150369886,0.7572588120740454,0.7603720699241069,0.7992819787620424,1.0,0.8136417188195163,0.8211995845166868,0.7876365104071408,0.8726144477732749,0.8422664407739353,0.8474986523343011,0.821169524730118,0.8310410439379886,0.8346490342037748,0.8612514735318403,0.8283971339158661,0.7230232351032447,0.7792748775326193,0.788102285145897,0.7364928062748528,0.7645356931201869,0.8380651359199388,0.7828734749326501,0.8205678231430711,0.8881551949564385,0.8818374779631638,0.773665504208618,0.828604862013491,0.8315208085836935,0.8129136429827735
HT144_SKIN ,0.9333459546574456,0.8726435433159246,0.9186245415518667,0.8124067396663959,0.8831526021101318,0.8517128352211526,0.7857552613147976,0.7666098053147268,0.8364169258882458,0.8136417188195163,1.0,0.8646528359071413,0.8531444496971312,0.8638317847990477,0.8702446683871249,0.8617660704869816,0.8753363622525709,0.8204390357822272,0.7869693834228904,0.8723999517262413,0.7760455987519282,0.7144921433511104,0.8386138555162118,0.7615280374020781,0.7597639672039243,0.901201105348983,0.922448460499327,0.8339707722776566,0.8081594418586961,0.8728996855903967,0.8370559207630626,0.8126728900937338,0.9362529392761615,0.8508590904948446,0.8240508765664574
HT29_LARGE_INTESTINE ,0.9092746068571768,0.9007686954548128,0.8366934962981967,0.8309367054324956,0.9002427307357967,0.9006527111481267,0.8630217944810367,0.8354641882887704,0.8716778815708355,0.8211995845166868,0.8646528359071413,1.0,0.9419994756396469,0.9431203760697654,0.9086612467162207,0.8840936349642171,0.9169185134072645,0.9018319750495639,0.8383583955050244,0.925329561191508,0.8150972392933115,0.7860879729893122,0.9126689701736083,0.7560519723698462,0.7926983972085057,0.892444598237565,0.894558795118365,0.9180726056308192,0.8473738993791803,0.9582138671514904,0.9233325181722152,0.8853807034368808,0.8679293864633386,0.9084373935379808,0.8808596771558616
KPL1_BREAST ,0.8971130241244836,0.8996267592538952,0.7819205736016482,0.8286961333376625,0.8820983256840269,0.9041007614463883,0.7983472490387767,0.8567434215255259,0.8612350228770809,0.7876365104071408,0.8531444496971312,0.9419994756396469,1.0,0.9109514921114984,0.8862563815231302,0.832732207152657,0.9320112363279537,0.8717973704886616,0.8476786561684951,0.9014763609930816,0.7716284236452966,0.7442265223137805,0.9361124681268795,0.6977018808371235,0.720612534531541,0.8511017689754411,0.8896598108616073,0.9061150052363457,0.7686479170666727,0.9348823409002984,0.9246090249597446,0.9176075068594781,0.8634530133527373,0.887508973243558,0.8716811909983864
LOVO_LARGE_INTESTINE ,0.9016056825315345,0.9254652265170734,0.8616325869626641,0.8136668103958519,0.9026572004821063,0.9460872501214196,0.8137477885428143,0.8247402707251773,0.8908146233001174,0.8726144477732749,0.8638317847990477,0.9431203760697654,0.9109514921114984,1.0,0.8947133956426832,0.8915176800247167,0.8837050616088714,0.9046991601548506,0.8151761364828056,0.9127115860525784,0.8776711903700778,0.7385600342400681,0.8700970620917139,0.802000895684064,0.821894911411442,0.854298891738262,0.9092317700351242,0.8923638559853034,0.8161910852203405,0.9624586069159483,0.9264130991327885,0.8396208635627653,0.8566633910782903,0.9234419930155708,0.9169158591282915
MDAMB436_BREAST ,0.9323196411544097,0.9097153249417574,0.8187803262845708,0.8486268441694285,0.9401672294320644,0.8930721916293841,0.7652882291037193,0.8234952549696678,0.8572322591517443,0.8422664407739353,0.8702446683871249,0.9086612467162207,0.8862563815231302,0.8947133956426832,1.0,0.9039677683732817,0.9259816759956957,0.9380604908683301,0.8414810507485296,0.950508184008917,0.8175321700583531,0.8535393300078314,0.9061040197439988,0.7537077233747964,0.7566476370418022,0.8988227196368356,0.8977277235962695,0.9337768115801046,0.8650908702744626,0.9051641112980923,0.913393230259254,0.858104103889422,0.8883261272102753,0.8638167106904794,0.8264941513474499
MSTO211H_PLEURA ,0.9043282337764393,0.869071117295093,0.8782175857528073,0.8013915452165523,0.881529749118154,0.8557807429765996,0.8125066105434026,0.7359398861189752,0.8371283996424154,0.8474986523343011,0.8617660704869816,0.8840936349642171,0.832732207152657,0.8915176800247167,0.9039677683732817,1.0,0.8548299311310867,0.8638093812749568,0.7684030791859107,0.9095473193548507,0.8484690867043817,0.810657189794189,0.8116479119798881,0.7838732220282573,0.822915060537627,0.8697269218658761,0.8712687116287993,0.8375752235598195,0.8453651083341592,0.8884006942154637,0.8551054774429787,0.7774803047867196,0.8527679926025397,0.8536572379419445,0.8202240264846348
NCIH1650_LUNG ,0.9192618156175066,0.8986205369789345,0.7900129569608421,0.8567984439736476,0.9407637784690549,0.8859562909623824,0.7957935726573919,0.8475715554307315,0.8486163148649171,0.821169524730118,0.8753363622525709,0.9169185134072645,0.9320112363279537,0.8837050616088714,0.9259816759956957,0.8548299311310867,1.0,0.8875464605194608,0.8710292170145297,0.9132154761941056,0.7696319948380315,0.7705271497652372,0.9326189597803756,0.7119751927089791,0.6728617324098024,0.8747386688845652,0.9153802148481035,0.9144106020575622,0.8320519926901531,0.9100016171166418,0.9344086734274708,0.8988812014816341,0.90657385026671,0.8564162958227454,0.827776838155554
NCIH2122_LUNG ,0.8964671679803421,0.8839475015053924,0.7678475458922684,0.8112613484676167,0.9034641549344073,0.8901939606771103,0.7474630142489349,0.8404999515492804,0.850296161725309,0.8310410439379886,0.8204390357822272,0.9018319750495639,0.8717973704886616,0.9046991601548506,0.9380604908683301,0.8638093812749568,0.8875464605194608,1.0,0.8210474476651111,0.9575730524690758,0.7824753345250223,0.8688254529182186,0.88568745763546,0.7486937895069394,0.7372274055444725,0.8594779406674045,0.8658339644168843,0.9320772573431343,0.8150090845899333,0.893484397973387,0.9145611813820677,0.837312748847277,0.8502219136027339,0.8515079672400776,0.8330301862929759
NCIH23_LUNG ,0.8691644205524034,0.8880619908608901,0.7064586144837327,0.9377142353453353,0.871572686494686,0.8770561418775313,0.7213169500623499,0.8368236666349096,0.7999854862055705,0.8346490342037748,0.7869693834228904,0.8383583955050244,0.8476786561684951,0.8151761364828056,0.8414810507485296,0.7684030791859107,0.8710292170145297,0.8210474476651111,1.0,0.8632102199465381,0.7283522023298931,0.7206064923482941,0.9208941166719743,0.6155352822879815,0.6352673893485852,0.8095698956008276,0.8380316452417764,0.8449674363004719,0.7665124116192896,0.8491936135101056,0.8761742595530921,0.9155034517201756,0.883574624027453,0.8546164389343757,0.7397453523769133
NCIH460_LUNG ,0.9465460653836432,0.9180908092407489,0.8274676437994691,0.8611641367006603,0.9225390308267793,0.9156022891677448,0.8028469630834989,0.8368689088529355,0.8757765750192106,0.8612514735318403,0.8723999517262413,0.925329561191508,0.9014763609930816,0.9127115860525784,0.950508184008917,0.9095473193548507,0.9132154761941056,0.9575730524690758,0.8632102199465381,1.0,0.8135888713199211,0.8690199447802637,0.910284892698623,0.7723293555796279,0.7645290454025551,0.8911225367661662,0.9071004105417675,0.9387319299425249,0.8488204225159511,0.928345505880559,0.9273001796524193,0.8688869237426893,0.9029235111865962,0.8859090243194412,0.8465691912904791
NCIH520_LUNG ,0.8132623623561849,0.8462952666348659,0.8349820656611582,0.741715912434381,0.8263302333583935,0.8476083548576099,0.6935014734011222,0.6944970373417865,0.7698415432053379,0.8283971339158661,0.7760455987519282,0.8150972392933115,0.7716284236452966,0.8776711903700778,0.8175321700583531,0.8484690867043817,0.7696319948380315,0.7824753345250223,0.7283522023298931,0.8135888713199211,1.0,0.6555161652665273,0.7339126470821583,0.7281935824484097,0.7756129724729762,0.7472734327767516,0.8122719568245709,0.762128634647318,0.7722789112578851,0.8584112137279185,0.8133247151001074,0.7240305739622811,0.7752596947526373,0.842566092166154,0.8212274840904883
OV90_OVARY ,0.800159962490895,0.7668687565712689,0.6702027616456951,0.7702603267001591,0.808854530420028,0.7575455381543718,0.6964717382239062,0.6974783556227426,0.6894758972796295,0.7230232351032447,0.7144921433511104,0.7860879729893122,0.7442265223137805,0.7385600342400681,0.8535393300078314,0.810657189794189,0.7705271497652372,0.8688254529182186,0.7206064923482941,0.8690199447802637,0.6555161652665273,1.0,0.7616237360160434,0.6691835130893538,0.7080365828377803,0.7916992250440392,0.7299103530308377,0.7791440282223708,0.7672502313812098,0.7511650661089954,0.7923185209528947,0.7342622769055438,0.7477873429285312,0.7329623595406787,0.6935296388377354
OVCAR4_OVARY ,0.9081323890086801,0.9156312452930844,0.7196451904407009,0.8837798250146554,0.894331875923098,0.8961004193928926,0.747810353344838,0.8912159358099774,0.8627574359402804,0.7792748775326193,0.8386138555162118,0.9126689701736083,0.9361124681268795,0.8700970620917139,0.9061040197439988,0.8116479119798881,0.9326189597803756,0.88568745763546,0.9208941166719743,0.910284892698623,0.7339126470821583,0.7616237360160434,1.0,0.6545628925632427,0.6512887928046958,0.870887439182902,0.8915925610635582,0.9403430628761499,0.7881576782284706,0.894693505695675,0.9085446141183826,0.9518856392309387,0.8853892426496349,0.886355542124261,0.7790380933427307
PA1_OVARY ,0.7844311003407001,0.7606878054371493,0.790342577526302,0.6432262370280816,0.7538295757159288,0.765400925408746,0.850962947678056,0.6351087189255396,0.7312702568426412,0.788102285145897,0.7615280374020781,0.7560519723698462,0.6977018808371235,0.802000895684064,0.7537077233747964,0.7838732220282573,0.7119751927089791,0.7486937895069394,0.6155352822879815,0.7723293555796279,0.7281935824484097,0.6691835130893538,0.6545628925632427,1.0,0.7681508671928113,0.7171324380952558,0.7592488643690167,0.6834274767052813,0.7054500343232858,0.7874889497170237,0.7372136074486053,0.6325533321386542,0.713031850802701,0.7462447294996436,0.7655472609043765
RKO_LARGE_INTESTINE ,0.7818654453423707,0.7587598369843133,0.85305821570448,0.6901880196930382,0.7370844884995651,0.7855840678854424,0.7580770292424883,0.6011230522084454,0.7032160412370447,0.7364928062748528,0.7597639672039243,0.7926983972085057,0.720612534531541,0.821894911411442,0.7566476370418022,0.822915060537627,0.6728617324098024,0.7372274055444725,0.6352673893485852,0.7645290454025551,0.7756129724729762,0.7080365828377803,0.6512887928046958,0.7681508671928113,1.0,0.743445400099667,0.7247670581188531,0.6524355417064406,0.6992998968700008,0.7855105140595013,0.7179142096030433,0.6668228021434337,0.7295939332946513,0.8133124489833683,0.8336206350087072
RPMI7951_SKIN ,0.9022632268058581,0.8539775361989917,0.8209065150507803,0.8213336256708227,0.8784180355715047,0.8253469560176175,0.7817922840818335,0.767560400192541,0.842408997509978,0.7645356931201869,0.901201105348983,0.892444598237565,0.8511017689754411,0.854298891738262,0.8988227196368356,0.8697269218658761,0.8747386688845652,0.8594779406674045,0.8095698956008276,0.8911225367661662,0.7472734327767516,0.7916992250440392,0.870887439182902,0.7171324380952558,0.743445400099667,1.0,0.8856455880459115,0.8919282136373945,0.8707728841780192,0.8660389316040451,0.8384349465779306,0.8225792810172368,0.8902534382182411,0.8318313992047066,0.7870297366761689
SKMEL30_SKIN ,0.9363069813495141,0.9154436426021493,0.8566944818420322,0.8453560373778102,0.9210320272407524,0.9062163240183638,0.7876392994147974,0.8156392725939475,0.8755912007999301,0.8380651359199388,0.922448460499327,0.894558795118365,0.8896598108616073,0.9092317700351242,0.8977277235962695,0.8712687116287993,0.9153802148481035,0.8658339644168843,0.8380316452417764,0.9071004105417675,0.8122719568245709,0.7299103530308377,0.8915925610635582,0.7592488643690167,0.7247670581188531,0.8856455880459115,1.0,0.8969050262371469,0.8456779091514374,0.9091352064417153,0.8970481684387157,0.8441972481610267,0.9143926236602808,0.8821869145891498,0.8293398881875175
SKMES1_LUNG ,0.8963223479414659,0.8838519329747774,0.7350855900210312,0.8113328964780274,0.8971947191370129,0.8768024249325059,0.7342458318049262,0.8510612143576274,0.8813777370858458,0.7828734749326501,0.8339707722776566,0.9180726056308192,0.9061150052363457,0.8923638559853034,0.9337768115801046,0.8375752235598195,0.9144106020575622,0.9320772573431343,0.8449674363004719,0.9387319299425249,0.762128634647318,0.7791440282223708,0.9403430628761499,0.6834274767052813,0.6524355417064406,0.8919282136373945,0.8969050262371469,1.0,0.8340968145207687,0.9013736049745147,0.9142869349946883,0.8681224649281449,0.8660221445650291,0.8455875789892515,0.7928284056663798
SKOV3_OVARY ,0.8366795248709151,0.8169271942001943,0.7892516997865568,0.8018638989899115,0.8800749058704774,0.787215237564665,0.7575277271023796,0.7125108893638219,0.7618585215859545,0.8205678231430711,0.8081594418586961,0.8473738993791803,0.7686479170666727,0.8161910852203405,0.8650908702744626,0.8453651083341592,0.8320519926901531,0.8150090845899333,0.7665124116192896,0.8488204225159511,0.7722789112578851,0.7672502313812098,0.7881576782284706,0.7054500343232858,0.6992998968700008,0.8707728841780192,0.8456779091514374,0.8340968145207687,1.0,0.848183293911091,0.8174744148263263,0.7476001146996812,0.8005121269145733,0.7778870626136165,0.7408830728051057
SW620_LARGE_INTESTINE ,0.9197457539333967,0.927746806017801,0.8594661311756934,0.8357293638508471,0.9148299748395634,0.9325650773182275,0.8351000867496315,0.8409510620023056,0.885294377228298,0.8881551949564385,0.8728996855903967,0.9582138671514904,0.9348823409002984,0.9624586069159483,0.9051641112980923,0.8884006942154637,0.9100016171166418,0.893484397973387,0.8491936135101056,0.928345505880559,0.8584112137279185,0.7511650661089954,0.894693505695675,0.7874889497170237,0.7855105140595013,0.8660389316040451,0.9091352064417153,0.9013736049745147,0.848183293911091,1.0,0.9380855170052491,0.8714848185628917,0.8753347393574237,0.9127096237864932,0.8946125835897919
SW837_LARGE_INTESTINE ,0.8986006047657795,0.9245348208380748,0.7778584566974078,0.8625505916099361,0.9269680688365664,0.9348862197317783,0.7888217549263717,0.8617335243048267,0.8483193400408565,0.8818374779631638,0.8370559207630626,0.9233325181722152,0.9246090249597446,0.9264130991327885,0.913393230259254,0.8551054774429787,0.9344086734274708,0.9145611813820677,0.8761742595530921,0.9273001796524193,0.8133247151001074,0.7923185209528947,0.9085446141183826,0.7372136074486053,0.7179142096030433,0.8384349465779306,0.8970481684387157,0.9142869349946883,0.8174744148263263,0.9380855170052491,1.0,0.8916550586611647,0.8699386106834274,0.8811615806997599,0.8621850454742471
T47D_BREAST ,0.8796957364783958,0.9046432712879456,0.7172625763365645,0.9113580112693473,0.859145022911544,0.880854576841352,0.7421904710089048,0.8780676865902907,0.8102778073187068,0.773665504208618,0.8126728900937338,0.8853807034368808,0.9176075068594781,0.8396208635627653,0.858104103889422,0.7774803047867196,0.8988812014816341,0.837312748847277,0.9155034517201756,0.8688869237426893,0.7240305739622811,0.7342622769055438,0.9518856392309387,0.6325533321386542,0.6668228021434337,0.8225792810172368,0.8441972481610267,0.8681224649281449,0.7476001146996812,0.8714848185628917,0.8916550586611647,1.0,0.8532189894447911,0.8890860310879474,0.7830189277304143
UACC62_SKIN ,0.9401887864468517,0.873292951778324,0.8704368669394943,0.859771444717288,0.8930387391503805,0.8727882324065019,0.7675711015185721,0.7960132799940094,0.8429853367541226,0.828604862013491,0.9362529392761615,0.8679293864633386,0.8634530133527373,0.8566633910782903,0.8883261272102753,0.8527679926025397,0.90657385026671,0.8502219136027339,0.883574624027453,0.9029235111865962,0.7752596947526373,0.7477873429285312,0.8853892426496349,0.713031850802701,0.7295939332946513,0.8902534382182411,0.9143926236602808,0.8660221445650291,0.8005121269145733,0.8753347393574237,0.8699386106834274,0.8532189894447911,1.0,0.8527820861992655,0.8166366225101667
VCAP_PROSTATE ,0.9047702534324629,0.9473054344716333,0.8354936322231167,0.8672359409302649,0.8834181475694164,0.9351308401748938,0.7781534678108348,0.8302640310836895,0.8437811530423389,0.8315208085836935,0.8508590904948446,0.9084373935379808,0.887508973243558,0.9234419930155708,0.8638167106904794,0.8536572379419445,0.8564162958227454,0.8515079672400776,0.8546164389343757,0.8859090243194412,0.842566092166154,0.7329623595406787,0.886355542124261,0.7462447294996436,0.8133124489833683,0.8318313992047066,0.8821869145891498,0.8455875789892515,0.7778870626136165,0.9127096237864932,0.8811615806997599,0.8890860310879474,0.8527820861992655,1.0,0.8526263539344723
ZR751_BREAST ,0.8443858607093612,0.837329022095571,0.853464073146458,0.7518370797743853,0.8422366481391419,0.8791362013215926,0.7850783923864847,0.7515523014113569,0.8044637306855006,0.8129136429827735,0.8240508765664574,0.8808596771558616,0.8716811909983864,0.9169158591282915,0.8264941513474499,0.8202240264846348,0.827776838155554,0.8330301862929759,0.7397453523769133,0.8465691912904791,0.8212274840904883,0.6935296388377354,0.7790380933427307,0.7655472609043765,0.8336206350087072,0.7870297366761689,0.8293398881875175,0.7928284056663798,0.7408830728051057,0.8946125835897919,0.8621850454742471,0.7830189277304143,0.8166366225101667,0.8526263539344723,1.0
